surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
Clay,0,Dustin Brown,R,32.62422998,Denis Istomin,R,30.87748118
Clay,1,Roberto Bautista Agut,R,29.27583847,Gleb Sakharov,R,29.11978097
Clay,1,Radu Albot,R,27.69883641,Mikhail Youzhny,R,35.08008214
Clay,1,Thiago Monteiro,L,23.14852841,Alexandr Dolgopolov,R,28.70910335
Clay,0,Renzo Olivo,R,25.35797399,Robin Haase,R,30.29979466
Clay,1,Yannick Hanfmann,U,25.69472964,Facundo Bagnis,L,27.40314853
Clay,0,Thomaz Bellucci,L,29.56605065,Henri Laaksonen,R,25.31416838
Clay,1,Joao Sousa,R,28.31759069,Santiago Giraldo,R,29.65639973
Clay,1,Paolo Lorenzi,R,35.60574949,Marco Chiudinelli,R,35.86858316
Clay,1,Ernests Gulbis,R,28.89801506,Daniel Brands,R,30.02053388
Clay,1,Norbert Gombos,R,26.94592745,Taro Daniel,R,24.48733744
Clay,1,Dustin Brown,R,32.62422998,Dusan Lajovic,R,27.06639288
Clay,1,Denis Istomin,R,30.87748118,Lorenzo Giustino,R,25.86995209
Clay,1,Gleb Sakharov,R,29.11978097,Antoine Bellier,U,20.76386037
Clay,0,Florian Mayer,R,33.80150582,Leonardo Mayer,R,30.19301848
Clay,0,Federico Delbonis,L,26.80082136,Leonardo Mayer,R,30.19301848
Clay,0,Philipp Kohlschreiber,R,33.77138946,Florian Mayer,R,33.80150582
Clay,1,Leonardo Mayer,R,30.19301848,Jiri Vesely,L,24.03832991
Clay,0,Karen Khachanov,R,21.17453799,Federico Delbonis,L,26.80082136
Clay,1,Philipp Kohlschreiber,R,33.77138946,Nicolas Kicker,R,24.93634497
Clay,0,Diego Sebastian Schwartzman,R,24.93634497,Florian Mayer,R,33.80150582
Clay,0,Jan Lennard Struff,R,27.24709103,Leonardo Mayer,R,30.19301848
Clay,0,Horacio Zeballos,L,32.24093087,Jiri Vesely,L,24.03832991
Clay,0,Aljaz Bedene,R,28.0164271,Karen Khachanov,R,21.17453799
Clay,0,David Ferrer,R,35.3100616,Federico Delbonis,L,26.80082136
Clay,0,Benoit Paire,R,28.21081451,Nicolas Kicker,R,24.93634497
Clay,0,Gilles Simon,R,32.57221081,Philipp Kohlschreiber,R,33.77138946
Clay,0,Cedrik Marcel Stebe,L,26.78986995,Diego Sebastian Schwartzman,R,24.93634497
Clay,1,Florian Mayer,R,33.80150582,Andrey Kuznetsov,R,26.41752225
Clay,1,Leonardo Mayer,R,30.19301848,Albert Ramos,L,29.51676934
Clay,1,Jan Lennard Struff,R,27.24709103,Evgeny Donskoy,R,27.20876112
Clay,0,Daniel Altmaier,U,18.86379192,Horacio Zeballos,L,32.24093087
Clay,1,Jiri Vesely,L,24.03832991,Fernando Verdasco,L,33.68925394
Clay,0,Rudolf Molleker,R,16.74195756,Karen Khachanov,R,21.17453799
Clay,0,Jose Hernandez,U,27.36481862,Aljaz Bedene,R,28.0164271
Clay,1,Federico Delbonis,L,26.80082136,Carlos Berlocq,R,34.46954141
Clay,0,Nikoloz Basilashvili,R,25.41546886,David Ferrer,R,35.3100616
Clay,0,Dmitry Tursunov,R,34.6146475,Benoit Paire,R,28.21081451
Clay,1,Nicolas Kicker,R,24.93634497,Tommy Haas,R,39.30732375
Clay,0,Andrey Rublev,R,19.75906913,Philipp Kohlschreiber,R,33.77138946
Clay,1,Gilles Simon,R,32.57221081,Maximilian Marterer,L,22.10814511
Clay,0,Andreas Haider Maurer,R,30.34086242,Diego Sebastian Schwartzman,R,24.93634497
Clay,0,Damir Dzumhur,R,25.17727584,Cedrik Marcel Stebe,L,26.78986995
Clay,0,Marco Cecchinato,R,24.81314168,Florian Mayer,R,33.80150582
Clay,1,Andrey Kuznetsov,R,26.41752225,Pablo Cuevas,R,31.55920602
Clay,0,Joao Sousa,R,28.33675565,Philipp Kohlschreiber,R,33.79055441
Clay,0,Sebastian Ofner,R,21.2183436,Joao Sousa,R,28.33675565
Clay,0,Fabio Fognini,R,30.18754278,Philipp Kohlschreiber,R,33.79055441
Clay,0,Renzo Olivo,R,25.37713895,Sebastian Ofner,R,21.2183436
Clay,0,Gerald Melzer,L,27.04996578,Joao Sousa,R,28.33675565
Clay,0,Dusan Lajovic,R,27.08555784,Philipp Kohlschreiber,R,33.79055441
Clay,0,Thomaz Bellucci,L,29.58521561,Fabio Fognini,R,30.18754278
Clay,0,Pablo Cuevas,R,31.57837098,Sebastian Ofner,R,21.2183436
Clay,1,Renzo Olivo,R,25.37713895,Horacio Zeballos,L,32.26009582
Clay,0,Paolo Lorenzi,R,35.62491444,Joao Sousa,R,28.33675565
Clay,0,Santiago Giraldo,R,29.67556468,Gerald Melzer,L,27.04996578
Clay,1,Philipp Kohlschreiber,R,33.79055441,Jiri Vesely,L,24.05749487
Clay,0,Gilles Simon,R,32.59137577,Dusan Lajovic,R,27.08555784
Clay,1,Thomaz Bellucci,L,29.58521561,Jan Lennard Struff,R,27.26625599
Clay,1,Fabio Fognini,R,30.18754278,Miljan Zekic,U,29.0513347
Clay,1,Sebastian Ofner,R,21.2183436,Nikoloz Basilashvili,R,25.43463381
Clay,1,Renzo Olivo,R,25.37713895,Thiago Monteiro,L,23.16769336
